model,cw_pct,ots_pct,ots_macro,balanced_ots,threat_capture,critical_miss,anomaly_capture,anomaly_suppression,false_review,false_escalation,ord_pct,mae,rmse,exact,minor,hard,hard_miss,hard_over,n_errors,n,avg_seconds_per_event,total_tokens,total_llm_errors,rank,tier,incomplete
qwen3.5-9b,57.6,55.7,58.9,55.0,90.9,9.1,86.5,13.5,33.0,4.1,78.3,17.4,22.9,116,64,9,5,4,0,189,36.96,891752,2,33,open_source_consumer,False
gpt-5.5,57.4,58.8,58.1,63.8,100.0,0.0,91.9,8.1,44.3,5.2,78.3,15.2,19.5,112,72,5,0,5,0,189,84.81,703044,2,34,closed_source,False
nemotron-3-ultra,57.4,53.0,60.3,53.2,94.5,5.5,75.7,24.3,41.2,7.2,77.5,19.2,24.8,114,65,10,3,7,0,189,11.51,642653,0,35,open_source_pro,False
deepseek-v4-flash-0731,57.3,56.3,58.4,58.5,98.2,1.8,86.5,13.5,43.3,9.3,77.2,18.3,23.2,113,66,10,0,0,0,189,0,0,0,36,closed_source,False
grok-4.3,57.0,56.2,62.3,59.1,98.2,1.8,83.8,16.2,44.3,8.2,77.8,17.8,23.1,114,66,9,1,8,0,189,13.99,671824,0,37,closed_source,False
claude-sonnet-4.6,56.3,56.0,62.4,61.0,100.0,0.0,89.2,10.8,50.5,9.3,77.0,17.1,21.6,111,69,9,0,9,0,189,12.26,636884,0,38,closed_source,False
nex-n2-pro,56.1,57.6,60.2,64.2,100.0,0.0,94.6,5.4,49.5,5.2,77.8,16.8,21.8,110,74,5,0,5,0,189,16.53,746577,0,39,open_source_pro,False
owl-alpha,56.0,51.8,58.8,53.0,96.4,3.6,78.4,21.6,47.4,10.3,76.2,20.0,26.1,111,66,12,2,10,0,189,21.14,557326,0,40,closed_source,False
qwen3-235b-a22b,55.8,56.2,57.8,64.2,100.0,0.0,97.3,2.7,54.6,6.2,77.0,21.0,26.9,108,75,6,0,6,0,189,29.9,1061345,0,41,open_source_pro,False
claude-haiku-4.5,55.6,47.2,55.0,42.8,89.1,10.9,64.9,35.1,37.1,11.3,75.7,22.3,28.4,114,58,17,6,11,0,189,6.0,621249,0,42,closed_source,False
minimax-m2.7,55.3,55.4,54.1,58.2,98.2,1.8,86.5,13.5,42.3,5.2,77.0,19.9,24.2,108,75,6,1,5,0,189,20.99,656853,2,43,open_source_pro,False
qwen3.6-flash,55.2,45.4,51.6,37.7,81.8,18.2,64.9,35.1,29.9,3.1,76.7,19.8,26.5,114,62,13,10,3,0,189,17.61,917039,4,44,closed_source,False
